                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.62155,                 1.1889,                 0.5873,                 1.0214,                0.81374,                0.81272,                0.86199,                0.72963,                0.81004,                0.78816,                0.83964,                 0.6914,                0.58629,                 1.3289,                0.61418,                 1.0526,             0.00085803,             0.00085803,             0.00085803
                     26,                0.62578,                 1.1979,                0.57686,                 1.0171,                0.78089,                0.83714,                0.85114,                0.71737,                0.78434,                0.82212,                0.84014,                0.68035,                0.57942,                 1.2841,                0.66709,                 1.0547,             0.00084703,             0.00084703,             0.00084703
                     27,                0.63084,                 1.2061,                0.58416,                 1.0214,                 0.8011,                0.84712,                0.86557,                0.73305,                0.79052,                0.83526,                0.85117,                 0.6936,                0.58075,                 1.3364,                0.60846,                 1.0602,             0.00083603,             0.00083603,             0.00083603
                     28,                0.61914,                 1.1798,                0.57815,                 1.0118,                0.79022,                0.82558,                0.85375,                 0.7238,                0.77745,                0.80206,                0.82691,                0.66243,                0.58248,                 1.3873,                0.64313,                 1.0583,             0.00082503,             0.00082503,             0.00082503
                     29,                0.61438,                 1.1748,                 0.5677,                 1.0112,                0.80916,                0.83307,                0.85224,                0.72773,                0.79979,                0.82081,                0.83697,                0.68623,                0.56931,                 1.3147,                0.63856,                 1.0461,             0.00081403,             0.00081403,             0.00081403
                     30,                0.62516,                  1.175,                0.57371,                 1.0158,                 0.8052,                 0.8168,                0.85042,                0.72303,                0.79531,                0.80624,                0.83413,                0.66902,                0.58025,                 1.3812,                0.63842,                 1.0688,             0.00080303,             0.00080303,             0.00080303
                     31,                0.60749,                 1.1629,                0.56262,                 1.0076,                 0.8313,                0.81949,                0.86385,                0.73452,                0.81903,                0.79907,                0.83955,                0.68596,                0.57883,                 1.3548,                0.64552,                  1.065,             0.00079203,             0.00079203,             0.00079203
                     32,                0.62914,                 1.1925,                0.57394,                 1.0183,                0.81801,                0.79516,                0.83983,                0.71732,                0.81675,                0.79299,                0.82717,                0.67806,                 0.5766,                 1.3056,                0.64879,                 1.0586,             0.00078103,             0.00078103,             0.00078103
                     33,                 0.6149,                 1.1689,                0.56984,                 1.0109,                0.79692,                0.82223,                0.85199,                0.72119,                0.78821,                 0.8126,                0.83993,                0.68231,                0.58306,                 1.3258,                 0.6303,                   1.06,             0.00077003,             0.00077003,             0.00077003
                     34,                0.61434,                 1.1636,                0.56276,                  1.011,                0.81912,                0.80187,                0.84537,                0.71721,                0.81843,                0.79288,                0.83399,                0.68233,                0.57184,                 1.3405,                0.64047,                 1.0658,             0.00075904,             0.00075904,             0.00075904
                     35,                0.60715,                 1.1633,                0.55265,                 1.0072,                 0.7736,                0.84651,                0.84404,                0.71983,                0.77131,                0.83863,                0.83455,                0.67999,                0.56182,                 1.3442,                0.62219,                 1.0491,             0.00074804,             0.00074804,             0.00074804
                     36,                0.60018,                 1.1444,                0.55164,                 1.0056,                0.80732,                 0.8101,                0.84031,                0.71368,                0.80311,                0.80005,                0.83033,                0.67498,                0.56275,                 1.2743,                0.64526,                 1.0535,             0.00073704,             0.00073704,             0.00073704
                     37,                0.60003,                 1.1602,                 0.5464,                 1.0018,                0.80745,                0.82141,                0.85526,                0.73618,                  0.806,                0.80932,                0.84263,                0.69491,                0.55906,                 1.2921,                 0.6308,                 1.0449,             0.00072604,             0.00072604,             0.00072604
                     38,                0.60156,                  1.129,                0.54777,                      1,                0.79858,                0.81554,                0.83503,                0.70782,                0.78405,                0.84007,                0.83284,                0.66827,                0.58616,                 1.3727,                0.62753,                 1.0767,             0.00071504,             0.00071504,             0.00071504
                     39,                0.59959,                 1.1515,                0.53936,                 1.0006,                0.82015,                0.81779,                0.85843,                0.73496,                0.81675,                 0.8036,                0.84476,                 0.6929,                0.55469,                 1.3184,                0.62123,                  1.055,             0.00070404,             0.00070404,             0.00070404
                     40,                 0.6104,                 1.1634,                0.55286,                 1.0087,                0.80092,                0.84417,                0.86148,                0.73332,                0.79981,                0.82475,                0.84548,                0.69582,                0.56681,                 1.3163,                0.59498,                 1.0521,             0.00069304,             0.00069304,             0.00069304
                     41,                0.59012,                 1.1094,                0.52772,                 0.9984,                0.82697,                0.81241,                0.84738,                 0.7202,                0.82384,                0.80753,                0.83615,                0.69056,                0.56797,                 1.2942,                0.60661,                 1.0588,             0.00068204,             0.00068204,             0.00068204
                     42,                0.58704,                 1.1144,                0.52659,                 0.9968,                0.83688,                0.80579,                0.84863,                0.72308,                0.82709,                0.80155,                0.83607,                0.68573,                0.56923,                 1.3437,                0.64329,                 1.0686,             0.00067104,             0.00067104,             0.00067104
                     43,                0.59163,                 1.1426,                0.52877,                0.99733,                0.80509,                0.82743,                 0.8438,                0.71961,                0.80057,                0.81893,                0.83259,                 0.6831,                 0.5629,                 1.3036,                0.59903,                 1.0578,             0.00066005,             0.00066005,             0.00066005
                     44,                0.58837,                 1.1409,                0.52115,                0.99396,                0.80714,                0.83959,                0.86114,                0.73722,                0.80073,                0.83413,                0.84372,                0.69572,                0.54603,                 1.3045,                0.59708,                 1.0463,             0.00064905,             0.00064905,             0.00064905
                     45,                0.59421,                 1.1384,                0.53301,                0.99842,                0.77634,                0.83302,                0.84224,                0.72387,                0.77274,                0.82829,                0.83335,                0.67734,                0.55286,                 1.3425,                0.64614,                 1.0488,             0.00063805,             0.00063805,             0.00063805
                     46,                0.59393,                 1.1176,                0.52577,                 1.0002,                0.83797,                0.80395,                0.86017,                0.73355,                0.80545,                0.80694,                0.84632,                0.70176,                 0.5508,                 1.2595,                0.59031,                 1.0494,             0.00062705,             0.00062705,             0.00062705
                     47,                0.58301,                 1.1074,                0.51633,                0.99337,                0.84035,                0.81607,                0.85886,                0.72972,                0.83598,                0.81223,                0.84871,                0.70023,                 0.5719,                 1.2984,                 0.6102,                 1.0736,             0.00061605,             0.00061605,             0.00061605
                     48,                0.59137,                 1.1112,                0.52521,                0.99517,                0.79356,                0.83764,                0.84973,                0.72746,                0.78458,                0.83091,                0.83727,                0.68821,                0.56162,                 1.2562,                0.63463,                 1.0694,             0.00060505,             0.00060505,             0.00060505
                     49,                0.57999,                 1.0925,                0.51184,                0.99486,                 0.8365,                0.83445,                0.87862,                0.74457,                0.82972,                0.82507,                0.86618,                0.71331,                 0.5552,                 1.2382,                 0.6021,                 1.0475,             0.00059405,             0.00059405,             0.00059405
                     50,                0.59018,                 1.0956,                0.52166,                0.99678,                0.83803,                0.81511,                0.85538,                0.73087,                0.82904,                 0.8045,                0.84296,                0.69726,                0.55789,                 1.2793,                0.60954,                 1.0613,             0.00058305,             0.00058305,             0.00058305
                     51,                0.57457,                 1.0822,                0.50879,                0.98878,                 0.8178,                0.84384,                0.86039,                  0.729,                0.80411,                0.84782,                0.84318,                0.70038,                0.55833,                 1.2665,                0.59285,                 1.0599,             0.00057205,             0.00057205,             0.00057205
                     52,                0.58192,                 1.0978,                0.50758,                0.99013,                0.83061,                0.83748,                0.86737,                 0.7368,                 0.8195,                0.82597,                0.84654,                0.69793,                0.56087,                 1.2565,                0.56899,                 1.0563,             0.00056105,             0.00056105,             0.00056105
                     53,                0.57991,                 1.0865,                0.50361,                0.98986,                0.83452,                0.80658,                0.86434,                0.74155,                0.83328,                0.79787,                 0.8529,                0.70365,                0.57117,                 1.3126,                0.60436,                 1.0685,             0.00055006,             0.00055006,             0.00055006
                     54,                0.56722,                 1.0731,                0.50389,                0.98494,                0.84069,                0.81947,                0.86195,                 0.7385,                0.84055,                0.80678,                0.85016,                0.70328,                0.55217,                 1.2511,                0.59911,                 1.0558,             0.00053906,             0.00053906,             0.00053906
                     55,                0.56708,                 1.0755,                0.50042,                0.98547,                 0.8487,                0.80952,                0.87427,                0.74478,                0.84024,                0.80102,                0.85648,                0.70738,                0.55757,                 1.2591,                0.60061,                 1.0552,             0.00052806,             0.00052806,             0.00052806
