                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.73764,                 1.4784,                0.80564,                 1.0905,                0.81496,                0.79592,                0.86682,                0.71048,                0.81206,                 0.7945,                0.85252,                0.67196,                0.62713,                 1.3303,                0.70378,                 1.0756,             0.00086902,             0.00086902,             0.00086902
                     25,                0.72242,                 1.4606,                0.79446,                 1.0888,                0.81363,                0.78457,                0.85686,                0.71488,                0.82092,                0.76007,                0.83324,                0.66666,                0.61245,                 1.3474,                 0.7027,                 1.0627,             0.00085803,             0.00085803,             0.00085803
                     26,                0.72225,                 1.4568,                0.77776,                 1.0804,                 0.7902,                0.81702,                0.85823,                0.71666,                 0.7766,                0.79831,                0.83912,                0.66089,                0.59085,                 1.3887,                0.73079,                 1.0495,             0.00084703,             0.00084703,             0.00084703
                     27,                0.72964,                 1.4819,                0.77173,                 1.0855,                0.78598,                0.79382,                0.84708,                0.69691,                 0.7786,                0.77705,                0.82964,                0.65045,                0.65094,                 1.3866,                0.72294,                 1.0925,             0.00083603,             0.00083603,             0.00083603
                     28,                0.72059,                 1.4281,                0.76909,                 1.0794,                0.77397,                0.80458,                0.84819,                0.70135,                0.75867,                0.79124,                0.82759,                0.64077,                0.62646,                 1.4293,                0.72014,                 1.0813,             0.00082503,             0.00082503,             0.00082503
                     29,                0.70684,                 1.4184,                0.74739,                 1.0728,                0.77987,                0.82018,                 0.8556,                0.71841,                0.77332,                0.81289,                0.84357,                0.66639,                0.58844,                  1.368,                 0.7187,                 1.0532,             0.00081403,             0.00081403,             0.00081403
                     30,                0.71861,                 1.4194,                0.75193,                 1.0787,                0.80601,                0.77468,                0.83194,                0.68732,                0.80351,                0.76558,                0.80943,                 0.6226,                0.63892,                 1.4697,                0.74896,                 1.0999,             0.00080303,             0.00080303,             0.00080303
                     31,                0.70206,                 1.3983,                0.74223,                 1.0694,                0.81357,                0.79534,                0.84719,                0.69937,                0.80247,                0.78845,                0.82958,                0.64916,                 0.6403,                 1.4629,                0.72549,                 1.0981,             0.00079203,             0.00079203,             0.00079203
                     32,                0.71745,                 1.4241,                0.74923,                 1.0763,                0.72366,                 0.8126,                0.82374,                0.68118,                0.72835,                0.79956,                0.81356,                0.64059,                0.63796,                  1.398,                0.74631,                 1.0871,             0.00078103,             0.00078103,             0.00078103
                     33,                 0.7032,                 1.3892,                0.73697,                 1.0684,                0.78563,                0.82951,                0.87381,                0.73121,                 0.7857,                0.82869,                0.85981,                0.68085,                0.60986,                   1.33,                0.67671,                 1.0682,             0.00077003,             0.00077003,             0.00077003
                     34,                0.70051,                 1.3902,                0.72432,                  1.069,                0.78835,                0.80431,                0.85643,                0.71831,                0.78422,                0.78797,                0.83718,                0.66729,                0.58616,                 1.3524,                 0.6935,                 1.0664,             0.00075904,             0.00075904,             0.00075904
                     35,                0.69651,                 1.3779,                0.72138,                 1.0635,                0.81873,                0.80662,                0.86922,                 0.7271,                0.80987,                0.79851,                0.85248,                0.68487,                0.59179,                 1.3075,                0.66463,                 1.0672,             0.00074804,             0.00074804,             0.00074804
                     36,                0.68308,                   1.35,                0.70493,                 1.0575,                0.79507,                0.85035,                 0.8633,                 0.7262,                0.78798,                0.84138,                 0.8486,                0.68292,                0.59057,                 1.2889,                 0.6886,                 1.0594,             0.00073704,             0.00073704,             0.00073704
                     37,                0.68543,                 1.3715,                0.70099,                 1.0544,                0.80425,                0.82466,                0.85954,                0.72518,                0.79876,                0.81801,                0.84689,                0.68501,                0.57806,                  1.288,                 0.6644,                 1.0525,             0.00072604,             0.00072604,             0.00072604
                     38,                0.68584,                  1.336,                 0.6915,                 1.0543,                 0.8236,                0.81262,                0.86228,                0.71534,                0.81656,                0.80678,                0.84579,                0.67559,                0.61106,                 1.3379,                0.66161,                 1.0764,             0.00071504,             0.00071504,             0.00071504
                     39,                0.68539,                 1.3652,                0.69383,                 1.0558,                0.81375,                0.80569,                0.86534,                0.72726,                0.80648,                0.79631,                0.85154,                0.68958,                0.58576,                 1.3122,                 0.6595,                 1.0562,             0.00070404,             0.00070404,             0.00070404
                     40,                0.68926,                 1.3774,                0.70258,                 1.0611,                0.81909,                0.80437,                0.86716,                0.72887,                0.81625,                0.80397,                0.85824,                0.69139,                0.58375,                 1.2841,                0.65664,                 1.0494,             0.00069304,             0.00069304,             0.00069304
                     41,                0.67237,                 1.3037,                0.67569,                 1.0507,                0.78543,                0.85297,                0.85962,                 0.7249,                0.77626,                0.84367,                0.84514,                0.68554,                0.59624,                 1.2952,                0.63192,                 1.0603,             0.00068204,             0.00068204,             0.00068204
                     42,                0.66883,                 1.3155,                0.67727,                 1.0503,                0.82742,                0.83065,                0.87388,                0.73217,                0.81804,                0.82114,                0.85756,                0.68544,                  0.589,                 1.3104,                0.64506,                 1.0601,             0.00067104,             0.00067104,             0.00067104
                     43,                0.66822,                 1.3323,                0.66884,                 1.0463,                0.79569,                0.83302,                0.87186,                0.73256,                0.79184,                0.83121,                0.85579,                0.69071,                0.57088,                 1.2737,                0.63148,                 1.0494,             0.00066005,             0.00066005,             0.00066005
                     44,                0.66108,                 1.3257,                0.65151,                 1.0419,                0.81204,                0.84679,                0.87537,                0.74039,                0.79898,                0.83737,                 0.8582,                0.70333,                0.56233,                 1.2307,                0.62308,                 1.0374,             0.00064905,             0.00064905,             0.00064905
