                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.60711,                 1.1617,                0.55842,                 1.0074,                0.79464,                0.87698,                 0.8704,                0.74101,                0.79022,                0.86248,                0.85419,                0.70433,                0.56607,                 1.2635,                0.59951,                 1.0541,             0.00062705,             0.00062705,             0.00062705
                     25,                0.60025,                 1.1353,                0.55226,                   1.01,                0.82671,                0.80097,                0.86168,                0.73206,                0.81792,                0.79644,                0.84602,                0.69394,                0.56667,                 1.3093,                 0.6038,                  1.056,             0.00060505,             0.00060505,             0.00060505
                     26,                 0.6017,                 1.1541,                0.54453,                 1.0001,                0.80779,                0.84688,                0.87883,                0.74561,                0.80396,                0.83188,                0.86076,                0.70776,                0.56499,                 1.2711,                0.59261,                 1.0558,             0.00058305,             0.00058305,             0.00058305
                     27,                0.60547,                 1.1466,                0.54492,                 1.0052,                0.81318,                0.84238,                0.87051,                0.74073,                0.80486,                  0.833,                0.85749,                0.70451,                0.56082,                 1.2743,                0.59456,                 1.0533,             0.00056105,             0.00056105,             0.00056105
                     28,                0.59088,                 1.1197,                0.53439,                0.99809,                 0.8071,                 0.8128,                0.85454,                0.72937,                0.81013,                0.79871,                 0.8438,                0.69028,                0.56682,                 1.2853,                0.61383,                 1.0516,             0.00053906,             0.00053906,             0.00053906
                     29,                0.58924,                 1.1109,                0.52539,                0.99696,                0.81609,                0.84665,                 0.8716,                0.73755,                0.80496,                0.83488,                0.85314,                0.70169,                0.56037,                 1.2943,                0.61202,                 1.0627,             0.00051706,             0.00051706,             0.00051706
                     30,                0.59493,                 1.1231,                0.52934,                 1.0008,                0.82801,                0.80872,                0.85634,                0.73207,                0.82399,                 0.8042,                 0.8482,                0.69686,                0.54741,                 1.2461,                0.62233,                 1.0458,             0.00049506,             0.00049506,             0.00049506
                     31,                 0.5764,                 1.0985,                0.52182,                0.99099,                0.83497,                0.83466,                0.87176,                0.74349,                0.83048,                0.83096,                0.86226,                0.70676,                0.55693,                 1.2892,                0.61429,                 1.0533,             0.00047306,             0.00047306,             0.00047306
                     32,                0.59625,                 1.1304,                0.52655,                0.99995,                0.82442,                0.80414,                0.85224,                0.72958,                0.82718,                0.78903,                0.84294,                0.69836,                0.56005,                 1.2817,                0.61312,                 1.0628,             0.00045107,             0.00045107,             0.00045107
                     33,                0.58294,                 1.1078,                  0.526,                0.99639,                0.82601,                0.82196,                0.86945,                0.74003,                0.81454,                0.81078,                0.85509,                0.70706,                0.55309,                  1.288,                 0.5982,                 1.0467,             0.00042907,             0.00042907,             0.00042907
                     34,                0.58283,                 1.0962,                0.51451,                0.99396,                0.82821,                0.81481,                0.86124,                0.74021,                0.83444,                0.80906,                0.85518,                0.70459,                 0.5476,                 1.2961,                0.60244,                 1.0515,             0.00040707,             0.00040707,             0.00040707
                     35,                0.57475,                 1.0858,                0.50642,                0.98877,                0.82071,                0.84391,                 0.8704,                0.74747,                0.81247,                0.83256,                0.85633,                 0.7077,                0.54174,                 1.3143,                 0.5889,                 1.0407,             0.00038507,             0.00038507,             0.00038507
                     36,                0.56361,                  1.069,                0.49939,                 0.9858,                 0.8346,                 0.7998,                0.85661,                0.73672,                0.84201,                0.78931,                0.84318,                 0.7033,                0.54148,                 1.2655,                0.61492,                  1.044,             0.00036307,             0.00036307,             0.00036307
                     37,                0.56668,                   1.08,                0.49383,                0.98499,                0.82665,                0.82204,                0.85986,                 0.7411,                0.82133,                0.81775,                0.85298,                0.70978,                0.54038,                 1.2668,                0.59576,                 1.0443,             0.00034108,             0.00034108,             0.00034108
                     38,                0.56075,                 1.0533,                0.48754,                0.97879,                0.79169,                0.86081,                0.85707,                0.73069,                0.78815,                0.86123,                0.85024,                0.69601,                0.55788,                 1.2967,                0.59814,                 1.0583,             0.00031908,             0.00031908,             0.00031908
                     39,                0.56189,                 1.0747,                 0.4871,                0.98057,                0.85327,                 0.7946,                0.86295,                0.74551,                0.83483,                0.80992,                0.85494,                0.70964,                0.53861,                 1.3137,                0.58363,                  1.042,             0.00029708,             0.00029708,             0.00029708
                     40,                0.57051,                 1.0813,                0.49091,                0.98879,                 0.8228,                0.83006,                0.86427,                0.74112,                0.81877,                0.82478,                0.85504,                0.71087,                0.54111,                 1.2743,                0.57072,                 1.0478,             0.00027508,             0.00027508,             0.00027508
                     41,                0.50827,                0.94761,                0.41862,                0.97922,                0.82521,                0.83174,                0.86279,                0.74392,                0.81858,                 0.8241,                0.85172,                0.70666,                0.54555,                 1.2833,                0.58874,                 1.0542,             0.00025309,             0.00025309,             0.00025309
                     42,                0.49356,                0.91135,                0.39663,                0.96852,                0.83452,                0.82597,                0.86437,                0.74665,                0.82786,                0.81332,                0.84941,                 0.7127,                0.54329,                 1.2605,                0.59278,                 1.0501,             0.00023109,             0.00023109,             0.00023109
                     43,                0.49217,                0.89666,                0.38966,                0.96201,                0.83864,                0.81642,                0.86785,                 0.7432,                 0.8375,                 0.8151,                0.85974,                0.71456,                0.53863,                  1.282,                0.57464,                 1.0489,             0.00020909,             0.00020909,             0.00020909
                     44,                0.48519,                0.88582,                0.37515,                0.96103,                0.83754,                0.81328,                0.86505,                0.74581,                0.83781,                0.80407,                0.85476,                0.71441,                0.53548,                 1.2536,                0.59337,                 1.0419,             0.00018709,             0.00018709,             0.00018709
                     45,                0.48331,                0.88567,                0.37532,                0.95571,                0.83221,                0.82738,                0.86721,                 0.7505,                0.82367,                0.81899,                0.85366,                0.71604,                0.53705,                 1.2735,                0.57035,                 1.0512,             0.00016509,             0.00016509,             0.00016509
                     46,                0.47736,                0.87117,                0.36921,                0.95524,                0.86748,                0.80286,                 0.8713,                 0.7511,                0.86375,                 0.7971,                0.85879,                0.71692,                0.53184,                 1.2802,                0.56384,                 1.0496,              0.0001431,              0.0001431,              0.0001431
                     47,                0.46919,                0.85257,                0.36448,                0.95432,                0.86308,                0.80507,                0.87008,                0.75251,                0.85998,                0.80146,                0.85644,                0.71988,                0.52055,                 1.2631,                0.56532,                 1.0438,              0.0001211,              0.0001211,              0.0001211
                     48,                0.46707,                 0.8546,                 0.3564,                0.94557,                0.84288,                 0.8179,                0.86585,                0.74987,                0.84368,                0.80292,                0.85661,                0.71799,                0.52644,                 1.2754,                0.55771,                 1.0515,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.45948,                0.83568,                0.35073,                0.94763,                0.82547,                0.83739,                 0.8655,                0.75086,                0.82969,                0.82928,                0.86252,                0.72135,                0.52198,                 1.2563,                0.56539,                 1.0453,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.45569,                0.83188,                0.35335,                0.93971,                0.84608,                0.82131,                 0.8663,                0.75223,                0.84121,                0.81482,                 0.8585,                0.72159,                0.52006,                  1.255,                0.56329,                 1.0479,             5.5106e-05,             5.5106e-05,             5.5106e-05
